,x,y,EVI
220,-7824772.641,1352293.991,1807.815796
221,-7824540.985,1352293.991,3059.411865
222,-7823151.047,1352293.991,1100.375
223,-7822919.39,1352293.991,2077.5
224,-7822687.734,1352293.991,3057.555664
225,-7822456.078,1352293.991,3130
226,-7824772.641,1352062.335,1913.611084
227,-7823151.047,1352062.335,1531.875
228,-7822919.39,1352062.335,2433.800049
229,-7822687.734,1352062.335,3456.100098
230,-7822456.078,1352062.335,3582.333252
231,-7822919.39,1351830.679,2438.53125
232,-7822687.734,1351830.679,2553.580566
233,-7819907.858,1351830.679,760.5
234,-7825004.298,1351599.022,673.8035889
235,-7823614.359,1351599.022,1718.521729
236,-7822919.39,1351599.022,2030.967773
237,-7819676.201,1351599.022,1650.583374
238,-7823846.016,1351367.366,1622.272705
239,-7823614.359,1351367.366,2274.75
240,-7822687.734,1351367.366,1291.382324
241,-7821297.796,1351367.366,1660.75
242,-7820371.17,1351367.366,2075.888916
243,-7825235.954,1351135.71,607.5172119
244,-7824077.672,1351135.71,1252.625
245,-7823614.359,1351135.71,2010.682983
246,-7823382.703,1351135.71,2389.772705
247,-7822919.39,1351135.71,1865.6875
248,-7821992.765,1351135.71,1666.45459
249,-7821761.109,1351135.71,1258.45459
250,-7823382.703,1350904.053,2045.644409
251,-7822919.39,1350904.053,2401.628662
252,-7822687.734,1350904.053,2764.857178
253,-7822456.078,1350904.053,2466.649902
254,-7822224.421,1350904.053,2046.380981
255,-7821992.765,1350904.053,1501.136353
256,-7759445.548,1325421.854,1209.636353
257,-7758982.236,1325421.854,1114.625
258,-7758518.923,1325421.854,1549.133301
259,-7758287.266,1325421.854,1780.571411
260,-7757823.954,1325421.854,700.9000244
261,-7756202.359,1325421.854,1882.981812
262,-7758982.236,1325190.197,1680.599976
263,-7758750.579,1325190.197,2181.1875
264,-7756434.016,1325190.197,2611.527832
265,-7756202.359,1325190.197,3143.39624
266,-7755970.703,1325190.197,1901
267,-7757360.641,1324958.541,2148.840088
268,-7757128.985,1324958.541,2858.628662
269,-7756897.328,1324958.541,2293.675781
270,-7756202.359,1324958.541,1917.125
271,-7757823.954,1324726.885,1879.777832
272,-7757592.297,1324726.885,2863.242432
273,-7757360.641,1324726.885,3261.53125
274,-7757128.985,1324726.885,2329.685791
275,-7758055.61,1324495.228,1311.0625
276,-7757823.954,1324495.228,2817.666748
277,-7757592.297,1324495.228,3764.199951
278,-7758055.61,1324263.572,2315.918945
279,-7758750.579,1324031.916,1536.074951
280,-7758518.923,1324031.916,2417.100098
281,-7758287.266,1324031.916,2045.930176
282,-7758982.236,1323800.259,1492.408203
283,-7858131.157,1323568.603,870.2825928
284,-7858362.813,1323336.947,950.65625
285,-7858594.47,1323105.29,865.2857056
286,-7858362.813,1323105.29,942.0588379
287,-7858594.47,1322873.634,674.7999878
288,-7858594.47,1322641.978,595.7805176
289,-7858826.126,1322410.321,419.0714417
290,-7859289.439,1321947.008,562.4285889
291,-7859752.751,1321715.352,710.8800049
292,-7861606.002,1321483.696,884.53125
293,-7860447.72,1321483.696,149.5454559
294,-7860216.064,1321483.696,660.333313
295,-7861837.659,1321252.039,771.3529663
296,-7860679.377,1321252.039,555.2702637
297,-7860447.72,1321252.039,822.2683105
298,-7862069.315,1321020.383,832.0750122
299,-7860911.033,1321020.383,639.4871826
300,-7861837.659,1320788.727,762.277771
301,-7861606.002,1320788.727,641.4705811
302,-7861374.346,1320788.727,376.75
303,-7764310.332,1317082.225,1924.111084
304,-7763152.05,1317082.225,512
305,-7762920.394,1317082.225,512
306,-7764541.988,1316850.569,2451.75
307,-7763847.019,1316850.569,1010
308,-7763615.363,1316850.569,1274.400024
309,-7766395.239,1316618.912,837.9821167
310,-7765005.301,1316618.912,2214.279053
311,-7764773.644,1316618.912,2807.568115
312,-7764541.988,1316618.912,3414.699951
313,-7764310.332,1316618.912,2735.772705
314,-7764078.675,1316618.912,2635.333252
315,-7763847.019,1316618.912,2057.09082
316,-7766626.895,1316387.256,1654.491821
317,-7766163.583,1316387.256,1077.313721
318,-7765700.27,1316387.256,2126.444336
319,-7765468.614,1316387.256,2235.135254
320,-7765236.957,1316387.256,2479.777832
321,-7764541.988,1316387.256,2979.866699
322,-7764078.675,1316387.256,879.25
323,-7766858.552,1316155.599,2158.75
324,-7766626.895,1316155.599,2458.434814
325,-7766163.583,1316155.599,1540.208374
326,-7765236.957,1316155.599,2155.93335
327,-7765005.301,1316155.599,2768.166748
328,-7764773.644,1316155.599,2815.052734
329,-7766858.552,1315923.943,2924.551758
330,-7766626.895,1315923.943,3379.666748
331,-7765931.926,1315923.943,2527.439941
332,-7765468.614,1315923.943,2378.629639
333,-7765236.957,1315923.943,2691.620605
