"","long","lat","EVI","Bio9","Bio16"
"1437",-78.1875,2.64583333333333,3001,258,1370
"1438",-78.1708333333333,2.64583333333333,4006,257,1375
"1439",-78.1625,2.64583333333333,4680,259,1381
"1440",-78.1541666666667,2.64583333333333,4689,259,1384
"1441",-78.1041666666667,2.64583333333333,3838,259,1395
"1442",-78.0958333333333,2.64583333333333,4834,259,1397
"1443",-78.0291666666667,2.64583333333333,4360,259,1406
"1444",-78.0125,2.64583333333333,2987,261,1411
"1445",-78.0041666666667,2.64583333333333,5202,261,1414
"1446",-77.9958333333333,2.64583333333333,4988,262,1416
"1447",-77.9875,2.64583333333333,4654,262,1420
"1448",-77.9791666666667,2.64583333333333,4582,261,1423
"1449",-78.3541666666667,2.6375,4964,259,1321
"1450",-78.2958333333333,2.6375,5479,256,1335
"1451",-78.2791666666667,2.6375,5264,257,1339
"1452",-78.2708333333333,2.6375,3871,257,1342
"1453",-78.2625,2.6375,3660,257,1345
"1454",-78.2541666666667,2.6375,4728,257,1347
"1455",-78.1791666666667,2.6375,4571,258,1371
"1456",-78.1625,2.6375,4391,259,1376
"1457",-78.1541666666667,2.6375,3983,259,1377
"1458",-78.1375,2.6375,5147,259,1381
"1459",-78.1291666666667,2.6375,5022,NA,NA
"1460",-78.1041666666667,2.6375,5889,259,1387
"1461",-78.0958333333333,2.6375,5641,259,1389
"1462",-78.0875,2.6375,5058,259,1390
"1463",-78.0291666666667,2.6375,5298,259,1401
"1464",-78.0208333333333,2.6375,4602,259,1403
"1465",-78.0125,2.6375,4402,261,1406
"1466",-78.0041666666667,2.6375,4993,261,1409
"1467",-77.9958333333333,2.6375,5050,262,1411
"1468",-77.9875,2.6375,4923,262,1414
"1469",-77.9791666666667,2.6375,4664,262,1416
"1470",-77.9708333333333,2.6375,4826,262,1419
